T_K,tau_s,X_CO2_kinetic,X_CO2_equilibrium,approach_to_eq,Q_kW,Kc
800,0.1,0.00775085760066222,0.6970179788598464,0.011120025359088667,3.152693214485734,0.23697997737017834
800,0.3,0.023034892388305497,0.6970179788598464,0.03304777363990673,9.369537239730976,0.23697997737017834
800,0.5,0.0380293698329779,0.6970179788598464,0.05456009885883402,15.46860262451525,0.23697997737017834
800,1.0,0.07425611858272538,0.6970179788598464,0.10653400749316468,30.203981707822305,0.23697997737017834
800,2.0,0.14139946430270878,0.6970179788598464,0.20286343909522142,57.51481379324454,0.23697997737017834
800,3.0,0.20170051163794778,0.6970179788598464,0.289376340001848,82.04251286287874,0.23697997737017834
800,5.0,0.3033112452865457,0.6970179788598464,0.43515555478596096,123.37309677996247,0.23697997737017834
800,10.0,0.4683758730549786,0.6970179788598464,0.6719710068614424,190.5138131664707,0.23697997737017834
800,30.0,0.6160450132647005,0.6970179788598464,0.8838294447905086,250.5788434270463,0.23697997737017834
800,100.0,0.622991661202943,0.6970179788598464,0.8937956840396103,253.40442105299772,0.23697997737017834
850,0.1,0.014737747217309473,0.6718257666875725,0.021936859150213497,5.9098416275744965,0.3274642280950041
850,0.3,0.043426692140226625,0.6718257666875725,0.0646398133169874,17.41411826204229,0.3274642280950041
850,0.5,0.07108176561330978,0.6718257666875725,0.10580386930346156,28.50381209482405,0.3274642280950041
850,1.0,0.13582473427936115,0.6718257666875725,0.2021725587410008,54.46576446609921,0.3274642280950041
850,2.0,0.2476493626523932,0.6718257666875725,0.36862141187800057,99.30747833205541,0.3274642280950041
850,3.0,0.33844548427877497,0.6718257666875725,0.503769728790659,135.7167538677371,0.3274642280950041
850,5.0,0.46932127968001286,0.6718257666875725,0.6985758852239247,188.1979921669098,0.3274642280950041
850,10.0,0.6180045181340396,0.6718257666875725,0.9198880852413597,247.820021163761,0.3274642280950041
850,30.0,0.6751175467545178,0.6718257666875725,1.0048997526295775,270.7223649915815,0.3274642280950041
850,100.0,0.6754077410431426,0.6718257666875725,1.0053317013624394,270.83873299964415,0.3274642280950041
900,0.1,0.02592623800294192,0.7236250641180368,0.03582827528858627,10.247728018924573,0.4347433698105967
900,0.3,0.07535238826813205,0.7236250641180368,0.104131810801734,29.784143016066373,0.4347433698105967
900,0.5,0.12165888184174553,0.7236250641180368,0.16812419562888534,48.08746768656625,0.4347433698105967
900,1.0,0.22470688695609814,0.7236250641180368,0.31052944141725336,88.81871181017488,0.4347433698105967
900,2.0,0.38380235421813286,0.7236250641180368,0.5303884197072636,151.7035421260862,0.4347433698105967
900,3.0,0.49392552149761043,0.7236250641180368,0.6825710523164548,195.23134846399873,0.4347433698105967
900,5.0,0.6195054048499047,0.7236250641180368,0.856113801979711,244.86864983785486,0.4347433698105967
900,10.0,0.7070733343262791,0.7236250641180368,0.9771266494038163,279.48116571279735,0.4347433698105967
900,30.0,0.7195846586895568,0.7236250641180368,0.994416437974817,284.42645122690976,0.4347433698105967
900,100.0,0.7195872439589338,0.7236250641180368,0.9944200106390395,284.4274730927637,0.4347433698105967
950,0.1,0.04266744748654871,0.8182836903147915,0.05214261018710352,16.622271340070654,0.558169680027825
950,0.3,0.12147689274476328,0.8182836903147915,0.1484532738249145,47.32464657954605,0.558169680027825
950,0.5,0.19219283364398834,0.8182836903147915,0.23487310809048667,74.87397579746741,0.558169680027825
950,1.0,0.3381102332668104,0.8182836903147915,0.41319439366650496,131.72009040352293,0.558169680027825
950,2.0,0.5294513185377674,0.8182836903147915,0.6470266055701158,206.26224432262916,0.558169680027825
950,3.0,0.634640909414529,0.8182836903147915,0.7755756553945055,247.24172691895237,0.558169680027825
950,5.0,0.7219878802058903,0.8182836903147915,0.8823197733883019,281.27012877460334,0.558169680027825
950,10.0,0.7550803991467232,0.8182836903147915,0.9227611500557292,294.1622247767053,0.558169680027825
950,30.0,0.7564976339867889,0.8182836903147915,0.9244931103243257,294.7143473772296,0.558169680027825
950,100.0,0.7564976370448925,0.8182836903147915,0.9244931140615424,294.7143485685949,0.558169680027825
1000,0.1,0.06625834832780732,0.9038268994735575,0.07330867046156749,25.44177958722503,0.6966904557139928
1000,0.3,0.18322644078420347,0.9038268994735575,0.20272293388360696,70.3550094234177,0.6966904557139928
1000,0.5,0.2819148929603404,0.9038268994735575,0.31191248360116786,108.24925085012718,0.6966904557139928
1000,1.0,0.4652732483811847,0.9038268994735575,0.5147813687025552,178.65491265463652,0.6966904557139928
1000,2.0,0.6582671608349667,0.9038268994735575,0.7283110972005598,252.76042096028542,0.6966904557139928
1000,3.0,0.7360689873018251,0.9038268994735575,0.8143915474639618,282.6346476865493,0.6966904557139928
1000,5.0,0.7792717651915152,0.9038268994735575,0.8621913838207398,299.2235844826695,0.6966904557139928
1000,10.0,0.787130856074604,0.9038268994735575,0.8708867334365415,302.2413062196248,0.6966904557139928
1000,30.0,0.7872026835660123,0.9038268994735575,0.8709662038433752,302.26888643027974,0.6966904557139928
1000,100.0,0.7872026835662841,0.9038268994735575,0.870966203843676,302.26888643038683,0.6966904557139928
1050,0.1,0.09774802745104094,0.9572889127824517,0.10210922339727822,36.99683633599493,0.8489769503648487
1050,0.3,0.26000173967829604,0.9572889127824517,0.27160216336630927,98.40855166893994,0.8489769503648487
1050,0.5,0.38596099003030404,0.9572889127824517,0.4031813017748963,146.08310727685222,0.8489769503648487
1050,1.0,0.590052828591512,0.9572889127824517,0.6163790478638963,223.3302144120227,0.8489769503648487
1050,2.0,0.7527246771001262,0.9572889127824517,0.7863087799818553,284.90019093928794,0.8489769503648487
1050,3.0,0.7966815460168567,0.9572889127824517,0.8322268600199554,301.5375096408887,0.8489769503648487
1050,5.0,0.8115942610668897,0.9572889127824517,0.8478049314369613,307.1818514492964,0.8489769503648487
1050,10.0,0.8127223911763495,0.9572889127824517,0.8489833950067324,307.6088395544738,0.8489769503648487
1050,30.0,0.8127237639160233,0.9572889127824517,0.8489848289935419,307.6093591253175,0.8489769503648487
1050,100.0,0.8127237639160227,0.9572889127824517,0.8489848289935412,307.6093591253122,0.8489769503648487
